'a'ka'xi 阿卡西
'jue'xing'shi'jian'xian 觉醒时间线
'jue'xing'yi'yuan 觉醒意愿
'jue'xing'yi'yuan'qiang 觉醒意愿强
'jue'xing'zhi'lu 觉醒之路
'ka'dian 卡点
'kai'fa'cheng'du 开发程度
'kai'fang'cheng'du 开放程度
'kang'ju'si'wang'cheng'du 抗拒死亡程度
'ke'guan'xing 客观性
'ke'guan'xing'qiang 客观性强
'ke'li'an'zhao'xiang'shu 克里安照相术
'kong'jian'liu'ti 空间流体
'kong'jian'ti 空间体
'kong'jian'yi'shi'liu 空间意识流
'kong'ju'hai'pa'mo'shi 恐惧害怕模式
'kong'meng 控梦
'kong'zhi'yi'shi 控制意识
'kua'shi 跨世
'kua'shi 跨式
'kua'shi'chuang'shang 跨式创伤
'kua'shi'ji'yi 跨世记忆
'kua'shi'ji'yi 跨式记忆
'kua'shi'qing'gan 跨式情感
'kuan'guang'du 宽广度
'kuan'shu'fa 宽恕法
'lan'niao'ren 蓝鸟人
'lan'se'wang'guang'dan 蓝色网光蛋
'lan'se'wang'guang'ti 蓝色网光体
'lao'jun'xi'sheng'jing 老君西升经
'lao'zi'dan'dao 老子丹道
'lao'zi'dan'dao'jue 老子丹道诀
'lao'zi'dan'dao'lao'jun'xi'sheng'jing 老子丹道老君西升经
'lao'zi'dan'dao'tai'shang'lao'jun'nei'guan'jing 老子丹道太上老君內观经
'lao'zi'dan'dao'tai'shang'lao'jun'shuo'le'xin'jing 老子丹道太上老君说了心经
'lao'zuo'ren'ke'cheng'du 劳作认可程度
'le'xin'jing 了心经
'le'yu'zhu'ren'zhi'shu 乐于助人指数
'lei'shi 累世
'lei'shi'xiu'xing 累世修行
'leng'jing'chu'li'neng'li 冷静处理能力
'li'jie'shi'wu'de'neng'li 理解事物的能力
'li'jie'ta'ren'de'neng'li 理解他人的能力
'li'kai'ju'zhen 离开矩阵
'li'liang'pian 力量篇
'li'lun'jia'she 理论假设
'li'se'li'xiang'fen 離色離相分
'li'xiang'ji'mie'fen 離相寂滅分
'li'zi 粒子
'li'zi'de'fa'san'du 粒子的发散度
'li'zi'de'ju'he'du 粒子的聚合度
'li'zi'de'liu'dong'shun'chang'du 粒子的流动顺畅度
'li'zi'de'yun'dong'fang'xiang'suo'dai'lai'de'ying'xiang 粒子的运动方向所带来的影响
'li'zi'ju'san'yu'zhi'guan'li'zhang'cheng 粒子聚散阈值管理章程
'li'zi'yun'dong 粒子运动
'li'zi'yun'dong'bu'fen 粒子运动部分
'lian'dong'mi'du'yu'zhi'guan'li'zhang'cheng 联动密度阈值管理章程
'lian'dong'xi'tong 联动系统
'lian'jie 连接
'lian'jie'shen'du 连接深度
'lian'jie'wen'ding'du 连接稳定度
'lian'jing'hua'qi 炼精化气
'liang'dian'xuan'zhuan'xing'hu'dong'jie'gou 两点旋转型互动结构
'liang'jie'fen 两界分
'liang'zi'cui'mian 量子催眠
'liao'yu 疗愈
'lin'jie 临界
'lin'shi'ling 临时灵
'ling'chuan 灵串
'ling'chuan'ci'yuan 灵串次元
'ling'chuan'ling 灵串灵
'ling'dian 灵点
'ling'he 灵核
'ling'he'ci'yuan 灵核次元
'ling'hun 灵魂
'ling'hun'chu'qiao 灵魂出窍
'ling'hun'ge'xing 灵魂个性
'ling'hun'ji'hua 灵魂计划
'ling'hun'ji'yi 灵魂记忆
'ling'hun'ji'yi'mao'dian 灵魂记忆锚点
'ling'hun'kao'wen 灵魂拷问
'ling'hun'pin'lv 灵魂频率
'ling'hun'shi'yan 灵魂实验
'ling'hun'shu'xing 灵魂属性
'ling'hun'te'xing 灵魂特性
'ling'hun'te'zhi 灵魂特质
'ling'hun'wan'jia 灵魂玩家
'ling'huo'qie'huan'neng'li 灵活切换能力
'ling'jia'ti 灵加体
'ling'jie 灵界
'ling'jie'lv'xing 灵界旅行
'ling'liao 灵疗
'ling'neng'liang 零能量
'ling'neng'liang'kong'jian 零能量空间
'ling'neng'zhong'xin 灵能中心
'ling'rou'guan'xi 灵肉关系
'ling'shi 灵视
'ling'shi'chu'ti 灵视出体
'ling'ti 灵体
'ling'ti'chu'you 灵体出游
'ling'ti'ci'yuan 灵体次元
'ling'ti'jian'she 灵体建设
'ling'ti'shou'shu 灵体手术
'ling'xing 灵性
'ling'xing'ceng'mian 灵性层面
'ling'xing'jie'gou 灵性结构
'ling'xing'jie'gou'qu 灵性结构区
'ling'xiu 灵修
'ling'yan 灵眼
'ling'yi'shi 灵意识
'ling'yu'ti 灵与体
'liu'dong'xing'fang'mian 流动性方面
'liu'dong'yu'shun'chang'cheng'du'de'ying'xiang 流动与顺畅程度的影响
'liu'ling 六灵
'liu'wei 六维
'long'zu 龙族
'long'zu'qun 龍族群
'long'zu'qun 龙族群
'lun'hui 轮回
'lun'hui'da'ting 轮回大厅
'lun'hui'ji'yi 轮回记忆
'lun'hui'ju'zhen 轮回矩阵
'lun'hui'xi'tong 轮回系统
'lun'hui'xing'qiu 轮回星球
'luo'di'de'cheng'du 落地的程度
'luo'di'de'chi'xu'du 落地的持续度
'luo'di'ying'yong 落地应用
'luo'xuan'cu'jin'shu'zhi 螺旋促进数值
'luo'xuan'gan'ying'mo'kuai'jie'gou 螺旋感应模块结构
'luo'xuan'shang'sheng 螺旋上升
'mai'lun 脉轮
'mai'lun'dui'tong 脉轮对通
'mai'lun'xi'tong 脉轮系统
'man'de'la'xiao'ying 漫德拉效应
'mao'dian 锚点
'mao'su'xing 昴宿星
'mei'jian'lun 眉间轮
'mei'tian'ji'yi'hui'fu'qun 每天记忆恢复群
'mei'xin'lun 眉心轮
'men'luo 门罗
'men'luo'ba 门罗吧
'meng'guan'cheng'jiu'fa 梦观成就法
'meng'guan'fa 梦观法
'meng'jing 梦境
'meng'jing'ji'yi 梦境记忆
'meng'po 孟婆
'meng'po'tang 孟婆汤
'meng'xiu 梦修
'meng'xiu'po'huan 梦修破幻
'meng'xiu'xiang'mu 梦修项目
'meng'zhong'zhi'meng 梦中知梦
'mi'du'yu'zhi 密度阈值
'miao'ding 瞄定
'miao'xing'mo'zhu'fen 妙行無住分
'mie'jin'ding 灭尽定
'min'zhi'zhang 民之章
'ming'tang 明堂
'ming'xi 明悉
'ming'xi'meng'jing 明悉梦境
'ming'xiang'ru'ding 冥想入定
'mo'de'mo'shuo'fen 無得無說分
'mo'duan'mo'mie'fen 無斷無滅分
'mo'fa'ke'de'fen 無法可得分
'mo'gua 摸瓜
'mo'gua'fang'xiang 摸瓜方向
'mo'kuai'dian'dui'dian'xin'xi'xiao'ying'gui'ze 模块点对点信息效应规则
'mo'kuai'dui'chong'gui'ze 模块对冲规则
'mo'kuai'fa'zhan'de'lian'dong'xing 模块发展的联动性
'mo'kuai'hui'lu'xi'tong'gui'ze 模块回路系统规则
'mo'kuai'jian'li'bu'fen 模块建立部分
'mo'kuai'jiao'huan'qu 模块交换区
'mo'kuai'jie'gou 模块结构
'mo'kuai'lian'dong 模块联动
'mo'kuai'lian'dong'guan'li'zhang'cheng 模块联动管理章程
'mo'kuai'lian'dong'ji'shu'gui'ze 模块联动技术规则
'mo'kuai'luo'xuan'fa'zhan'gui'ze 模块螺旋发展规则
'mo'kuai'qu'yu'duan'ceng'cheng'du 模块区域断层程度
'mo'kuai'ru'qin'gui'ze 模块入侵规则
'mo'kuai'yun'dong'de'tong'bu'xing 模块运动的同步性
'mo'sheng'ren'di'shi'cheng'du 陌生人敌视程度
'mo'sheng'ren'you'hao'cheng'du 陌生人友好程度
'mo'si'zhang 無思章
'mo'wei'fu'sheng'fen 無為福勝分
'mu'tong'xiao'ying 木桶效应
'na'luo'ba 那洛巴
'nao'bo'zhuang'tai 脑波状态
'nao'kong 脑控
'nao'zhi'fu 脑之府
'nei'dan'jue 内丹诀
'nei'guan'fa 內观法
'nei'guan'fa 内观法
'nei'guan'jing 內观经
'nei'he'xing'kuo'zhan'shi'hu'dong'lei'xing 内核型扩展式互动类型
'nei'jiu'zi'ze'mo'shi 内疚自责模式
'nei'qiu 内求
'nei'qiu'qiang 内求强
'nei'qiu'zi'qiang 内求自强
'nei'zang'ling 内脏灵
'neng'jing'ye'zhang'fen 能淨業障分
'neng'liang'chang 能量场
'neng'liang'huan 能量幻
'neng'liang'mo'kuai 能量模块
'neng'liang'zhi'yuan 能量之源
'ni'wan'gong 泥丸宫
'ni'xiang'fa'zhan'yu'zhi'guan'li'zhang'cheng 逆向发展阈值管理章程
'nian'lian 黏连
'nie'pan'jie 涅盘界
'ning'shi'fa 凝视法
'pi'liang'cui'mian 批量催眠
'pi'lun 脾轮
'pin'lv 频率
'pin'lv'ce'shi'fa 频率测试法
'pin'lv'fan'wei 频率范围
'pin'lv'mao'ding 频率锚定
'pin'zhi'ji'fa'cheng'du 品质继发程度
'pin'zhi'yuan'fa'cheng'du 品质原发程度
'ping'xing'shi'jian'xian 平行时间线
'ping'xing'shi'kong 平行时空
'ping'xing'wo 平行我
'ping'xing'yu'zhou 平行宇宙
'po'huan 破幻
'po'huan'mo'kuai 破幻模块
'po'huan'neng'li 破幻能力
'po'jie'bi'li 破解比例
'po'jie'du 破解度
'po'jie'yao'dian 破解要点
'po'jiu 破九
'po'neng'liang'huan 破能量幻
'po'zhi'zhuo'huan 破执着幻
'pu'luo'da'zhong 普罗大众
'pu'sa 菩萨
'pu'sa 菩薩
'qi'da'jie 七大界
'qi'ge'mai'lun 七个脉轮
'qi'guan'ling 器官灵
'qi'hou 七候
'qi'jie'fen 七界分
'qi'ling 七灵
'qi'lun 脐轮
'qi'po 七魄
'qi'qiang 七强
'qi'ta'gong'neng'zhi'ru'wu'de'ying'xiang 其它功能植入物的影响
'qi'wei 七维
'qi'xia 脐下
'qian'ceng'guan'xing'liu'dong'xing 浅层惯性流动性
'qian'cui 潜催
'qian'cui'ji'ti 潜催集体
'qian'cui'ji'ti'fang'yu'xi'tong 潜催集体防御系统
'qian'cui'ke'cheng 潜催课程
'qian'cui'shi 潜催师
'qian'cui'xiang'mu 潜催项目
'qian'cui'xue'yuan 潜催学员
'qian'liao 千聊
'qian'neng'kai'fa 潜能开发
'qian'shi'hui'su 前世回溯
'qian'shi'ji'yi 前世记忆
'qian'shi'jin'sheng 前世今生
'qian'tao'xing 嵌套型
'qian'yi'shi 潜意识
'qian'yi'shi'guan'xing 潜意识惯性
'qian'yi'shi'guan'xing'bu'fen 潜意识惯性部分
'qian'yi'shi'qing'xiang'de'ying'xiang 潜意识倾向的影响
'qian'yi'shi'tan'suo 潜意识探索
'qian'zu'yuan 前组员
'qiang'lie'yi'yuan 强烈意愿
'qiang'zhi'lun'hui 强制轮回
'qiao'dao 窍道
'qiao'shi'jie'ti'xing'hu'dong'lei'xing 桥式节梯型互动类型
'qie'huan'ci'yuan 切换次元
'qin'er'xing'zhi 勤而行之
'qin'mi'guan'xi'an'quan'gan 亲密关系安全感
'qin'shen'shi'zheng 亲身实证
'qing'ming'meng 清明梦
'qing'xing'meng 清醒梦
'qing'xing'meng'xiu 清醒梦修
'qing'xu'bo'dong 情绪波动
'qing'xu'de'ying'xiang 情绪的影响
'qing'xu'dui'shi'jue'hui'yi'de'ying'xiang 情绪对视觉回忆的影响
'qing'xu'fan'ying'guan'xing 情绪反应惯性
'qing'xu'guan'xing'liu'dong'xing 情绪惯性流动性
'qiu'dao 求道
'qiu'sheng'du 求生度
'qiu'ti'jie'gou'kong'zhi'gui'ze 球体结构控制规则
'qu'chu'xin'zhang 去除心障
'qu'dong'ling 驱动灵
'qu'xian'miao'bian'xing'hu'dong'jie'gou 曲线描边型互动结构
'qu'yu'yu'zheng'ti'de'ying'xiang 区域与整体的影响
'qu'zhong'xin'hua 去中心化
'quan'ceng'mian 全层面
'quan'di'yun'dong 圈地运动
'quan'pin 全频
'quan'shi'jiao 全视角
'quan'wei'huan 权威幻
'quan'xi'xin'xi 全息信息
'quan'xian'shi'yong'cheng'du 权限使用程度
'qun'ti'ji'yi 群体记忆
'ren'cheng'ti'dai'fa 人称替代法
'ren'de'duo'ci'yuan'fu'he'ti'jie'gou 人的多次元复合体结构
'ren'du'er'mai 任督二脉
'ren'du'mai 任督脉
'ren'ji'jiao'wang'an'quan'gan 人际交往安全感
'ren'jun'ju'shi 仁君居士
'ren'mai 任脉
'ren'sheng'ji'hua 人生计划
'ren'sheng'ju'ben 人生剧本
'ren'sheng'xin'jie'duan'de'bian'hua'ying'xiang 人生新阶段的变化影响
'ren'ti'gui'ze'he'zhang'cheng 人体规则和章程
'ren'ti'mai'lun 人体脉轮
'ren'ti'xiang'gui'ze 人体项规则
'ren'ti'xiang'zhang'cheng 人体项章程
'ren'ti'xin'xi'mo'kuai 人体信息模块
'ren'ti'xin'xi'mo'kuai'de'lian'dong'xi'tong 人体信息模块的联动系统
'ren'zhi'neng'li 认知能力
'ren'zhi'xi'guan 认知习惯
'ren'zhong 人中
'rong'ru'ji'ti'de'neng'li 融入集体的能力
'rong'ru'sheng'huo 融入生活
'rong'yi'zuo'dao 容易做到
'rou'ruo'zhang 柔弱章
'rou'ti 肉体
'rou'ti'ci'yuan 肉体次元
'rou'ti'ji'bing 肉体疾病
'rou'ti'ling 肉体灵
'rou'ti'lun'hui 肉体轮回
'rou'ti'tou'tai 肉体投胎
'rou'ti'wan'ju 肉体玩具
'rou'ti'zai'ju 肉体载具
'ru'ding 入定
'ru'ding'chu'shen 入定出神
'ru'ding'fa 入定法
'ru'fa'shou'chi'fen 如法受持分
'ru'huan 入幻
'ru'li'shi'xian'fen 如理實見分
'ru'ru'bu'dong 如如不动
'ru'shi'fa 入世法
'ru'shi'xiu'xing 入世修行
'ru'shi'zhi'dao 入世之道
'san'guan 三关
'san'jiao'xing'chuan'hang'mo'kuai'jie'gou'de'jian'li 三角形串行模块结构的建立
'san'jie'fen 三界分
'san'ling 三灵
'san'luo'xuan'jie'gou 三螺旋结构
'san'mai 三脉
'san'mai'qi'lun 三脉七轮
'san'mai'qi'lun'wei'zhi'tu 三脉七轮位置图
'san'mo'di 三摩地
'san'qian'ming'dui'yuan 三千名队员
'san'she'zhuang'zhen'xing'hu'dong'jie'gou 散射状针型互动结构
'san'shi'er'xiang 三十二相
'san'shi'liu'ji 三十六計
'san'shi'liu'jue 三十六决
'san'shi'liu'jue 三十六诀
'san'shi'liu'tian'jie'fen 三十六天界分
'san'tian 三田
'se'shen'zhang 色身章
'shan'e'zhang 善惡章
'shan'wei'zhang 善為章
'shan'xian'qi'qing'fen 善現啟請分
'shang'ceng'qu'yu 上层区域
'shang'chi 上齿
'shang'fang'qu 上方区
'shang'fang'qu'zi'zhu'yi'shi'qu 上方区自主意识区
'shang'jie 上界
'shang'qiao 上桥
'shang'que'qiao 上鹊桥
'shang'tian 上田
'she'hui'an'quan'gan 社会安全感
'she'hui'xi'nao 社会洗脑
'she'hui'yu'lun'de'ying'xiang 社会舆论的影响
'she'jian 舌尖
'she'jian'qiu'fan 舍简求繁
'she'xia 舌下
'she'zu 蛇族
'shen'ceng'ci'yuan 深层次元
'shen'ceng'duo'ci'yuan 深层多次元
'shen'ceng'guan'xing'liu'dong'xing 深层惯性流动性
'shen'du'tan'suo 深度探索
'shen'jing'lian 神经链
'shen'jing'lian'luo'qu 神经联络区
'shen'ling 肾灵
'shen'miao'zhang 深妙章
'shen'sheng'zhang 神生章
'shen'shi'chu'you'fa 神识出游法
'shen'wai'hua'shen'fa 身外化身法
'shen'xin'zhang 身心章
'shen'xing 神性
'shen'xing'de'luo'di'bu'fen 神性的落地部分
'shen'xing'jiao'huan'qu 神性交换区
'shen'xing'lian'jie 神性连接
'shen'xing'lian'jie'qu 神性连接区
'shen'xing'lian'jie'xiang'guan 神性连接相关
'shen'xing'zhang 慎行章
'sheng'bo'zhong'bei'mo'hu'chu'li'de'bu'fen 声波中被模糊处理的部分
'sheng'dao'zhang 生道章
'sheng'ming'an'quan'gan 生命安全感
'sheng'ming'he'yi'zhi'shu 生命合一指数
'sheng'ming'tan'suo'xiang'guan 生命探索相关
'sheng'ming'xing'shi 生命形式
'sheng'ming'zhi'chi'xiang'guan 生命支持相关
'sheng'ming'zhi'hua 生命之花
'sheng'ren'zhi'ci'zhang 聖人之辭章
'sheng'yin'cai'ji'bu'fen 声音采集部分
'sheng'yin'chuan'song'bu'fen 声音传送部分
'sheng'yin'cun'chu'bu'fen 声音存储部分
'sheng'yin'guan'zhu'dian'de'shu'liang 声音关注点的数量
'sheng'yin'hui'yi'bu'fen 声音回忆部分
'sheng'yu'an'quan'gan 生育安全感
'sheng'zhan'ji 勝戰計
'sheng'zhi'zhang 生置章
'shi'cao 实操
'shi'cao'zhi'nan 实操指南
'shi'hou'jue 事后觉
'shi'hou'jue'cha 事后觉察
'shi'jia'mo'ni 释迦摩尼
'shi'jian'li 实践力
'shi'jian'li'qiang 实践力强
'shi'jian'pian 实践篇
'shi'jian'xian 时间线
'shi'jue'chuan'shu'de'bu'fen 视觉传输的部分
'shi'jue'guan'zhu'de'zhong'dian'qing'xiang 视觉关注的重点倾向
'shi'jue'hua'mian'shou'zhu'guan'xin'nian'ying'xiang'de'cheng'du 视觉画面受主观信念影响的程度
'shi'jue'hui'yi'de'bu'fen 视觉回忆的部分
'shi'jue'pin'lv 视觉频率
'shi'jue'shen'jing'bu'fen 视觉神经部分
'shi'jue'xin'xi'dui'ting'jue'xin'xi'dai'lai'de'ying'xiang 视觉信息对听觉信息带来的影响
'shi'ke'jue'cha 时刻觉察
'shi'kong'chuan'suo 时空穿梭
'shi'kong'sui'dao 时空隧道
'shi'ming'huan 使命幻
'shi'qian'jue 事前觉
'shi'shi'jian'kong 实时监控
'shi'wei'deng'bao 史威登保
'shi'xiang 实相
'shi'xiu'shi'zheng 实修实证
'shi'yan'nei'rong 实验内容
'shi'yan'qu 试验区
'shi'yan'xing'qiu 实验星球
'shi'yi'you'xi 失忆游戏
'shi'zhong'jiao 事中觉
'shou'dan'tian 守丹田
'shou'fei'ban 收费班
'shou'shu'liu'cheng 手术流程
'shou'xia'dan'tian 守下丹田
'shou'yao'mu'biao 首要目标
'shu'liang'ji'fa'cheng'du 数量继发程度
'shu'liang'yuan'fa'cheng'du 数量原发程度
'shu'shi'qu 舒适区
'shu'xing'tuo'pu'jie'gou 树形拓扑结构
'shuang'jiao'dian 双焦点
'shuang'nao'zheng'he'cheng'du 双脑整合程度
'shuang'sheng'ling'hun 双生灵魂
'shuang'yi'shi'jiao'dian 双意识焦点
'shui'di'zhuang'liu'dong'xing'hu'dong'jie'gou 水滴状流动性互动结构
'shui'lian'xing'hu'dong'jie'gou 水帘型互动结构
'shui'man'xing'hu'dong'jie'gou 水漫型互动结构
'shui'meng'zhuang'tai 睡梦状态
'shun'jie'xing'wang'zhuang'jie'gou 瞬结型网状结构
'shun'teng'mo'gua 顺藤摸瓜
'si'chan 四禅
'si'chan'ba'ding 四禅八定
'si'ling 四灵
'si'wang'jie'na'cheng'du 死亡接纳程度
'si'wei 四维
'si'wei'guan'xing 思维惯性
'si'wei'jiang'hua'cheng'du 思维僵化程度
'si'wei'kuo'zhan'qu 思维扩展区
'si'wei'mo'shi 思维模式
'si'wei'ren'zhi'dui'shi'jue'hui'yi'de'ying'xiang 思维认知对视觉回忆的影响
'si'wei'zi'you'cheng'du 思维自由程度
'si'xiang'guan'xing'liu'dong'xing 思想惯性流动性
'si'xiang'jie'gou 思想结构
'su'yuan 溯源
'suo'you'ling 所有灵
'ta'ren'bi'jiao'cheng'du 他人比较程度
'ta'ren'gong'qing'neng'li 他人共情能力
'tai'shang'lao'jun'nei'guan'jing 太上老君內观经
'tai'shang'lao'jun'shuo'le'xin'jing 太上老君说了心经
'tai'yang'fei'chuan 太阳飞船
'tai'yang'lun 太阳轮
'tai'yang'ren 太阳人
'tai'yang'sheng'wu 太阳生物
'tan'suo'zhu'ti 探索主题
'tang'wang 唐望
'tao'li'lun'hui 逃离轮回
'teng'xun'hui'yi 腾讯会议
'ti'sheng'dian 提升点
'ti'sheng'qi'qiang 提升七强
'ti'yan'su'qiu 体验诉求
'tian'di'zhang 天地章
'tian'fu'jing 天符经
'tian'ge'yi'shi'qiang'du'ti'sheng'dian'qun 天个意识强度提升点群
'tian'kong'zhi'cheng 天空之城
'tian'lang'xing 天狼星
'tian'ren'he'yi 天人合一
'tian'sheng'ling'ti 天生灵体
'tian'shi'zu 天使族
'tian'xia'zhang 天下章
'tiao'pin 调频
'ting'jue'guan'zhu'de'zhong'dian'qing'xiang 听觉关注的重点倾向
'ting'jue'shen'jing'bu'fen 听觉神经部分
'tong'ling'di 同领地
'tong'ling'di'qun 同领地群
'tong'pin'gong'zhen 同频共振
'tong'pin'xiang'xi 同频相吸
'tong'xiao'zhou'tian 通小周天
'tou'bu 头部
'tou'ding'shang'fang 头顶上方
'tou'ming'fang'guang'dan 透明放光蛋
'tou'ming'wang'guang'dan 透明网光蛋
'tou'shang'li'mi 头上厘米
'tou'she'ji'yi 投射记忆
'tou'tai 投胎
'tou'tai'ji'hua 投胎计划
'tu'po'xian'tian'zi'wo'cheng'du 突破先天自我程度
'tu'xiang'cai'ji'bu'fen 图像采集部分
'tu'xiang'xiang'shang'chuan'shu'de'sun'hao'du 图像向上传输的损耗度
'tuo'li'ju'zhen 脱离矩阵
'tuo'li'lun'hui 脱离轮回
'tuo'min 脱敏
'tuo'min'fa 脱敏法
'tuo'pin 拓频
'tuo'pu'jie'gou 拓扑结构
'tuo'tai 脱胎
'tuo'yue 橐龠
'tuo'zhan'yu'zhi 拓展阈值
'tuo'zhang 拓张
'wai'jie'ci'ji'de'ying'xiang 外界刺激的影响
'wai'lai'ling 外来灵
'wai'ling 外灵
'wai'ling'gan'rao 外灵干扰
'wai'ling'gong'ji 外灵攻击
'wai'ling'ru'qin 外灵入侵
'wai'qi 外炁
'wai'qiu 外求
'wai'qiu'qing'xiang 外求倾向
'wai'qiu'yi'lai 外求依赖
'wai'qiu'yin'dao 外求引导
'wai'shen 外肾
'wai'xing'cai'niao 外星菜鸟
'wan'fa'gui'yi 万法归一
'wan'kong 顽空
'wan'quan'hu'lue'de'bu'fen 完全忽略的部分
'wan'quan'ke'guan 完全客观
'wan'wu 万物
'wan'wu 萬物
'wan'wu'ben'yuan 万物本源
'wan'wu'ben'zhi 万物本质
'wan'wu'hu'lian 万物互联
'wan'wu'qing'gan 万物情感
'wan'wu'yi'ti 万物一体
'wan'wu'you'ling 万物有灵
'wan'wu'zhi'fan 万物至繁
'wan'you'yi'ti 万有一体
'wan'you'yi'ti 萬有一体
'wang'diao'rou'ti 忘掉肉体
'wang'zhuang'jie'dian'yun'xing'fang'shi 网状节点运行方式
'wei'bu'zhong'yang 胃部中央
'wei'dao'zhang 為道章
'wei'guan'ling'yu 微观领域
'wei'ling 胃灵
'wei'lv 尾闾
'wei'yi'ji'jing'fen 威儀寂靜分
'wen'ding'fa 稳定法
'wen'ti'qing'dan 问题清单
'wen'zi'zhuan'lu 文字转录
'wo'ming'zhang 我命章
'wo'shi'da'jin'dan'guan'xiang'qun 我是大金蛋观想群
'wo'zheng'ta'xie 我正他邪
'wu'feng'de'dan 无缝的蛋
'wu'ling 五灵
'wu'liu'xian'zong 伍柳仙宗
'wu'se'jie 无色界
'wu'shi 五时
'wu'xian'jie'fen 无限界分
'wu'xian'neng'liang 无限能量
'wu'xing'ling'he 无形灵核
'wu'xing'wu'xiang 无形无相
'wu'yi'shi 无意识
'wu'yi'shi'tu'xiang'suo'zhan'de'bi'li 无意识图像所占的比例
'wu'yu'wu'qiu 无欲无求
'wu'zhi'ceng'mian 物质层面
'wu'zhi'ceng'mian'de'ying'xiang 物质层面的影响
'wu'zhi'jie 物质界
'wu'zhi'jie'xian'hua 物质界显化
'wu'zhi'shen'ti 物质身体
'wu'zhi'yu'zhou 物质宇宙
'xi'bao'ling 细胞灵
'xi'jie'jue'cha'neng'li 细节觉察能力
'xi'jun'ling 细菌灵
'xi'sheng'jing 西升经
'xi'sheng'zhang 西升章
'xi'shou'neng'liang 吸收能量
'xi'sui'fa 洗髓法
'xia'chi 下齿
'xia'dan'tian 下丹田
'xia'fang'qu 下方区
'xia'fang'qu'shen'xing'lian'jie'qu 下方区神性连接区
'xia'jie 下界
'xia'qiao 下桥
'xia'que'qiao 下鹊桥
'xia'tian 下田
'xia'zhou'tian 下周天
'xian'hua 显化
'xian'ru'huan'xiang 陷入幻相
'xian'ru'lun'hui 陷入轮回
'xian'tian'she'ding 先天设定
'xian'tian'she'ding'ke'chao'yue'de'cheng'du 先天设定可超越的程度
'xian'tian'shen 先天神
'xian'tian'zi'wo'kai'fa'cheng'du 先天自我开发程度
'xian'yi'shi 显意识
'xian'zhi'mo'kuai'ji'yi'chu'cun'neng'li'gui'ze 限制模块记忆储存能力规则
'xiang'guan'li'zhang'cheng'he'ji'shu'gui'ze 项管理章程和技术规则
'xiang'lin'jie 相邻界
'xiang'mu'yan'fa 项目研发
'xiang'nei'fan'si'cheng'du 向内反思程度
'xiang'nei'gui'yin 向内归因
'xiang'shou'ren'ke'cheng'du 享受认可程度
'xiang'shou'sheng'ming'cheng'du 享受生命程度
'xiang'wai'gui'yin 向外归因
'xiang'wai'gui'ze 向外归责
'xiang'wai'gui'ze'cheng'du 向外归责程度
'xiao'lv'di'yi 效率第一
'xiao'lv'di'yi'qiang 效率第一强
'xiao'niao 小鸟
'xiao'wo 小我
'xiao'wo'chen'ji 小我沉寂
'xiao'wo'huo'yue 小我活跃
'xiao'xing'ji'ti'xian'xiang'jie 小型集体现象界
'xiao'xing'luo'xuan'dui'liu'jie'gou 小型螺旋对流结构
'xie'zheng'zhang 邪正章
'xin'jiu'lun'hui'xi'tong 新旧轮回系统
'xin'li'an'shi 心理暗示
'xin'li'jian'she 心理建设
'xin'ling 心灵
'xin'lun 心轮
'xin'nian'xi'tong 信念系统
'xin'nian'xi'tong'de'ying'xiang 信念系统的影响
'xin'shen'ling 心身灵
'xin'sheng'ling 新生灵
'xin'tai'wen'ding'xing 心态稳定性
'xin'xi 信息
'xin'xi'bian'shi'li 信息辨识力
'xin'xi'chuan'shu 信息传输
'xin'xi'guo'lv'neng'li 信息过滤能力
'xin'xi'li'zi 信息粒子
'xin'xi'mo'kuai'xi'tong 信息模块系统
'xin'xi'zheng'li'neng'li 信息整理能力
'xin'zhang 心障
'xin'zhi'cheng'xu 心智程序
'xin'zhi'cheng'xu'de'ying'xiang 心智程序的影响
'xin'zhi'fan'yi'niu'qu'du 心智翻译扭曲度
'xin'zhi'guan'xing'bu'fen 心智惯性部分
'xin'zhi'kong'zhi 心智控制
'xin'zhi'kong'zhi'qu 心智控制区
'xin'zhi'mo'shi 心智模式
'xing'bie'pian'jian'cheng'du 性别偏见程度
'xing'bie'ping'deng'cheng'du 性别平等程度
'xing'dao'zhang 行道章
'xing'dong'li 行动力
'xing'fen'yu'ping'jing'de'xiang'hu'zuo'yong 兴奋与平静的相互作用
'xing'guan'nian'bang'jia'du 性观念绑架度
'xing'guan'nian'zi'you'du 性观念自由度
'xing'guang'ti 星光体
'xing'ji'yi'shi 星际意识
'xing'ji'zhan'zheng 星际战争
'xing'ji'zhong'zi 星际种子
'xing'meng 星盟
'xing'ming'gui'zhi 性命圭旨
'xing'ming'shuang'xiu 性命双修
'xing'pan 星盘
'xing'tai'ji'fa'cheng'du 形态继发程度
'xing'tai'yuan'fa'cheng'du 形态原发程度
'xing'ti'tou'she 星体投射
'xing'wei'fan'ying'guan'xing 行为反应惯性
'xing'wei'mo'shi 行为模式
'xing'xi'tuan 星系团
'xing'xing'tuo'pu'jie'gou 星型拓扑结构
'xiu'dao 修道
'xiu'dao'zhi'xin'zhang 修道之心障
'xiu'kui'mo'shi 羞愧模式
'xiu'xing'luo'di 修行落地
'xu'jia'mo'kuai'de'dao'ru'gui'ze 虚假模块的导入规则
