'a'ka'na'qiang'wei 阿卡纳蔷薇
'huang'se'shen'mi'hua'ban 黄色神秘花瓣
'huang'se'shen'mi'hua'pen'zai 黄色神秘花盆栽
'huang'se'shu 黄色树
'huang'se'wei'guang'mo'gu 黄色微光蘑菇
'huang'se'wei'guang'mo'gu'pen'zai 黄色微光蘑菇盆栽
'huang'se'xiao'tu'dou'mian'ju 黄色小土豆面具
'huang'se'ying'guang'hua 黄色荧光花
'huang'se'ying'guang'hua'pen'zai 黄色荧光花盆栽
'huang'se'yu 黄色鱼
'huang'se'zhi'wu'mo'fa'ci'dian 黄色植物魔法辞典
'hui'fu 恢复
'hui'se'chan 灰色铲
'hui'se'chu 灰色锄
'hui'se'de'zhi'wu'mo'fa 灰色的植物魔法
'hui'se'fu 灰色斧
'hui'se'fu'kong'hua 灰色浮空花
'hui'se'gao 灰色镐
'hui'se'gao'shen'mi'hua 灰色高神秘花
'hui'se'hua'ban'kuai 灰色花瓣块
'hui'se'huo'hua'sheng'ji 灰色火花升级
'hui'se'jian 灰色剑
'hui'se'shen'mi'hua 灰色神秘花
'hui'se'shen'mi'hua'ban 灰色神秘花瓣
'hui'se'shen'mi'hua'pen'zai 灰色神秘花盆栽
'hui'se'shu 灰色树
'hui'se'wei'guang'mo'gu 灰色微光蘑菇
'hui'se'wei'guang'mo'gu'pen'zai 灰色微光蘑菇盆栽
'hui'se'xiao'tu'dou'mian'ju 灰色小土豆面具
'hui'se'ying'guang'hua 灰色荧光花
'hui'se'ying'guang'hua'pen'zai 灰色荧光花盆栽
'hui'se'yu 灰色鱼
'hui'se'zhi'wu'mo'fa'ci'dian 灰色植物魔法辞典
'hui'yi'bu'shi 回忆补时
'huo'gen 活根
'huo'hong'lian 火红莲
'huo'hong'lian'pen'zai 火红莲盆栽
'huo'hua 火花
'huo'hua'gong'jiang'tai 火花工匠台
'huo'hua'hong'shi'huo'ba 活化红石火把
'huo'hua'sheng'ji 火花升级
'huo'li 活力
'huo'mu 活木
'huo'mu'ban 活木板
'huo'mu'ban'lou'ti 活木板楼梯
'huo'mu'ban'tai'jie 活木板台阶
'huo'mu'dan'gong 活木弹弓
'huo'mu'gong 活木弓
'huo'mu'hua'shen 活木化身
'huo'mu'lou'ti 活木楼梯
'huo'mu'qiang 活木墙
'huo'mu'tai'jie 活木台阶
'huo'mu'yuan'mu 活木原木
'huo'mu'zha'lan 活木栅栏
'huo'mu'zha'lan'men 活木栅栏门
'huo'mu'zhi 活木枝
'huo'shi 活石
'huo'shi'ban 活石板
'huo'shi'hua'yao'tai 活石花药台
'huo'shi'lou'ti 活石楼梯
'huo'shi'qiang 活石墙
'huo'shi'tai'jie 活石台阶
'huo'shi'xiang'lian 火石项链
'huo'shi'zhuan 活石砖
'huo'shi'zhuan'lou'ti 活石砖楼梯
'huo'shi'zhuan'qiang 活石砖墙
'huo'shi'zhuan'tai'jie 活石砖台阶
'huo'yan'quan 火焰圈
'huo'zhi'fu'wen 火之符文
'ji'chu'zhi'shi 基础知识
'ji'du'fu'wen 嫉妒符文
'ji'huo 激活
'ji'huo'wei'guang 激活微光
'ji'qiao'xiang 机巧箱
'ji'ya 挤压
'jian'dan 简单
'jian'yi'zhi'teng 坚毅之藤
'jiang'shi'bing'du 僵尸病毒
'jiao'cao'cao'di 焦草草地
'jiao'cuo'zhi'hun 交错之魂
'jiao'mei'zhi'ci 娇媚之刺
'jiao'mei'zhi'ci'pen'zai 娇媚之刺盆栽
'jiao'tu'cao'zhong 焦土草种
'jie'shu 结束
'jie'zhi'zhi'shi 节制之石
'jin'dou'yun'hu'fu 筋斗云护符
'jin'huang'shi'ying 金黄石英
'jin'huang'shi'ying'kuai 金黄石英块
'jin'huang'shi'ying'lou'ti 金黄石英楼梯
'jin'huang'shi'ying'tai'jie 金黄石英台阶
'jin'ji'zhi'guo 禁忌之果
'jin'zhi'shi'yong'ping'di'guo 禁止使用平底锅
'jing'ji'fei'lun 荆棘飞轮
'jing'ling'bo'li 精灵玻璃
'jing'ling'bo'li'ban 精灵玻璃板
'jing'ling'bo'li'shao'ping 精灵玻璃烧瓶
'jing'ling'chen 精灵尘
'jing'ling'men'he'xin 精灵门核心
'jing'ling'mo'li'fa'she'qi 精灵魔力发射器
'jing'ling'sen'lin'fa'zhang 精灵森林法杖
'jing'ling'shi'ying 精灵石英
'jing'ling'shi'ying'kuai 精灵石英块
'jing'ling'shi'ying'lou'ti 精灵石英楼梯
'jing'ling'shi'ying'tai'jie 精灵石英台阶
'jing'ling'xue 精灵学
'jing'ling'zhi'huan 精灵指环
'jing'niang 精酿
'jiu'bu'hui'shou'shang 就不会受伤
'ju'bao'hua 聚宝花
'ju'bao'hua'pen'zai 聚宝花盆栽
'ju'ji 聚集
'ju'xing'ci'hua'huan 巨型磁化环
'ju'ye'hua 咀叶花
'ju'ye'hua'pen'zai 咀叶花盆栽
'juan'yun'hu'fu 卷云护符
'jue'jing 絶境
'jue'xing 觉醒
'jun'si'bao'zi 菌丝孢子
'jun'si'hua'yao'tai 菌丝花药台
'ka'rui'de'yi'zhi 卡瑞的意志
'kai'ge'xiao'wan'xiao'er'yi 开个小玩笑而已
'kang'ji'yao'dai 抗击腰带
'ke'neng'de'jie'guo'zhong 可能的结果中
'keng'qiang 铿锵
'kong'he 恐吓
'kong'ju'zhi'ci 恐惧之刺
'kong'ju'zhi'ci'pen'zai 恐惧之刺盆栽
'kong'xu 空虚
'ku'lou'bing'du 骷髅病毒
'kuang'bian'huo'mu'ban 框边活木板
'kuang'bian'huo'shi'zhuan 框边活石砖
'kuang'bian'meng'zhi'mu'ban 框边梦之木板
'kuang'lang'kuang'lang 哐啷哐啷
'kuang'wen'huo'mu'ban 框纹活木板
'kuang'wen'meng'zhi'mu'ban 框纹梦之木板
'kuang'ye'hao'jiao 狂野号角
'kuang'ye'zhi'gu 狂野之鼓
'kui'mo'zhi'jing 窥魔之镜
'kun'nan 困难
'kuo'san 扩散
'la'pu'da'sui'pian 拉普达碎片
'lan'duo'fu'wen 懒惰符文
'lan'hu'die 蓝蝴蝶
'lan'se'chan 蓝色铲
'lan'se'chu 蓝色锄
'lan'se'de'zhi'wu'mo'fa 蓝色的植物魔法
'lan'se'fu 蓝色斧
'lan'se'fu'kong'hua 蓝色浮空花
'lan'se'gao 蓝色镐
'lan'se'gao'shen'mi'hua 蓝色高神秘花
'lan'se'hua'ban'kuai 蓝色花瓣块
'lan'se'huo'hua'sheng'ji 蓝色火花升级
'lan'se'jian 蓝色剑
'lan'se'pu'tao'ya'lou'ti 蓝色葡萄牙楼梯
'lan'se'pu'tao'ya'lu'mian 蓝色葡萄牙路面
'lan'se'pu'tao'ya'tai'jie 蓝色葡萄牙台阶
'lan'se'shen'mi'hua 蓝色神秘花
'lan'se'shen'mi'hua'ban 蓝色神秘花瓣
'lan'se'shen'mi'hua'pen'zai 蓝色神秘花盆栽
'lan'se'shu 蓝色树
'lan'se'wei'guang'mo'gu 蓝色微光蘑菇
'lan'se'wei'guang'mo'gu'pen'zai 蓝色微光蘑菇盆栽
'lan'se'xiao'tu'dou'mian'ju 蓝色小土豆面具
'lan'se'ying'guang'hua 蓝色荧光花
'lan'se'ying'guang'hua'pen'zai 蓝色荧光花盆栽
'lan'se'yu 蓝色鱼
'lan'se'zhi'wu'mo'fa'ci'dian 蓝色植物魔法辞典
'li'liang 力量
'li'liang'chuan'di'qi 力量传递器
'lian'jin'cui'hua'qi 炼金催化器
'lian'zao'cui'hua'qi 炼造催化器
'lie'huo'shi'zhuan 裂活石砖
'lie'yan'shi'ying 烈焰石英
'lie'yan'shi'ying'kuai 烈焰石英块
'lie'yan'shi'ying'lou'ti 烈焰石英楼梯
'lie'yan'shi'ying'tai'jie 烈焰石英台阶
'lie'yan'wang 烈焰网
'lin'guan'hao'jiao 林冠号角
'lin'guan'zhi'gu 林冠之鼓
'lin'shi'cai'hong'qiao'fang'kuai 临时彩虹桥方块
'ling'hun'bi'shou 灵魂匕首
'ling'kong'ji 凌空蓟
'ling'kong'ji'pen'zai 凌空蓟盆栽
'liu'zhao'nian'ling'yi'ye'wu'yu 六兆年零一夜物语
'long'shi 龙石
'long'shi'kuai 龙石块
'lou'dou'hua 漏斗花
'lou'dou'hua'pen'zai 漏斗花盆栽
'luan'shi 卵石
'luo'ji'zhi'jie 洛基之戒
'luo'xing 落星
'lv'ju'zhe'yao'dai 旅居者腰带
'lv'se'chan 绿色铲
'lv'se'chu 绿色锄
'lv'se'de'zhi'wu'mo'fa 绿色的植物魔法
'lv'se'fu 绿色斧
'lv'se'fu'kong'hua 绿色浮空花
'lv'se'gao 绿色镐
'lv'se'gao'shen'mi'hua 绿色高神秘花
'lv'se'hua'ban'kuai 绿色花瓣块
'lv'se'huo'hua'sheng'ji 绿色火花升级
'lv'se'jian 绿色剑
'lv'se'pu'tao'ya'lou'ti 绿色葡萄牙楼梯
'lv'se'pu'tao'ya'lu'mian 绿色葡萄牙路面
'lv'se'pu'tao'ya'tai'jie 绿色葡萄牙台阶
'lv'se'shen'mi'hua 绿色神秘花
'lv'se'shen'mi'hua'ban 绿色神秘花瓣
'lv'se'shen'mi'hua'pen'zai 绿色神秘花盆栽
'lv'se'shu 绿色树
'lv'se'wei'guang'mo'gu 绿色微光蘑菇
'lv'se'wei'guang'mo'gu'pen'zai 绿色微光蘑菇盆栽
'lv'se'xiao'tu'dou'mian'ju 绿色小土豆面具
'lv'se'ying'guang'hua 绿色荧光花
'lv'se'ying'guang'hua'pen'zai 绿色荧光花盆栽
'lv'se'yu 绿色鱼
'lv'se'zhi'wu'mo'fa'ci'dian 绿色植物魔法辞典
'mai'cang'bai'se'hua'ban 埋藏白色花瓣
'mai'cang'cheng'se'hua'ban 埋藏橙色花瓣
'mai'cang'dan'hui'se'hua'ban 埋藏淡灰色花瓣
'mai'cang'dan'lan'se'hua'ban 埋藏淡蓝色花瓣
'mai'cang'fen'se'hua'ban 埋藏粉色花瓣
'mai'cang'hei'se'hua'ban 埋藏黑色花瓣
'mai'cang'hong'se'hua'ban 埋藏红色花瓣
'mai'cang'huang'lv'se'hua'ban 埋藏黄绿色花瓣
'mai'cang'huang'se'hua'ban 埋藏黄色花瓣
'mai'cang'hui'se'hua'ban 埋藏灰色花瓣
'mai'cang'lan'se'hua'ban 埋藏蓝色花瓣
'mai'cang'lv'se'hua'ban 埋藏绿色花瓣
'mai'cang'pin'hong'se'hua'ban 埋藏品红色花瓣
'mai'cang'qing'se'hua'ban 埋藏青色花瓣
'mai'cang'zi'se'hua'ban 埋藏紫色花瓣
'mai'cang'zong'se'hua'ban 埋藏棕色花瓣
'mao'er 猫耳
'mei'gui'zhi'wen 玫瑰之吻
'meng'zhi'mu 梦之木
'meng'zhi'mu'ban 梦之木板
'meng'zhi'mu'ban'lou'ti 梦之木板楼梯
'meng'zhi'mu'ban'tai'jie 梦之木板台阶
'meng'zhi'mu'gun 梦之木棍
'meng'zhi'mu'lou'ti 梦之木楼梯
'meng'zhi'mu'qiang 梦之木墙
'meng'zhi'mu'tai'jie 梦之木台阶
'meng'zhi'mu'yuan'mu 梦之木原木
'meng'zhi'mu'zha'lan 梦之木栅栏
'meng'zhi'mu'zha'lan'men 梦之木栅栏门
'mi'san 弥散
'ming'ke 铭刻
'ming'ke'lian 铭刻莲
'ming'ke'lian'pen'zai 铭刻莲盆栽
'ming'yun'tou'zi 命运骰子
'ming'yun'zhi'tou 命运之骰
'mo'di'kong'qi'yun'tuan 末地空气云团
'mo'fa'bo'li'xiao'ping 魔法玻璃小瓶
'mo'fa'fei'dan 魔法飞弹
'mo'fa'shui'jing 魔法水晶
'mo'gang'chan 魔钢铲
'mo'gang'chu 魔钢锄
'mo'gang'fu 魔钢斧
'mo'gang'gao 魔钢镐
'mo'gang'hu'tui 魔钢护腿
'mo'gang'jian 魔钢剑
'mo'gang'jian'dao 魔钢剪刀
'mo'gang'kui'jia 魔钢盔甲
'mo'gang'li 魔钢粒
'mo'gang'tou'kui 魔钢头盔
'mo'gang'xiong'jia 魔钢胸甲
'mo'gang'xue'zi 魔钢靴子
'mo'li'beng 魔力泵
'mo'li'bo'li 魔力玻璃
'mo'li'bo'li'ban 魔力玻璃板
'mo'li'chen 魔力尘
'mo'li'chi 魔力池
'mo'li'chi'kuang'che 魔力池矿车
'mo'li'dian'chi 魔力电池
'mo'li'fa'she'qi 魔力发射器
'mo'li'fen'pei'qi 魔力分配器
'mo'li'feng'bao 魔力风暴
'mo'li'feng'bao'zhong'xin 魔力风暴中心
'mo'li'fu'mo'jie'shu 魔力附魔结束
'mo'li'fu'mo'tai 魔力附魔台
'mo'li'fu'wen 魔力符文
'mo'li'gang'ding 魔力钢锭
'mo'li'gang'kuai 魔力钢块
'mo'li'guan'zhu 魔力灌注
'mo'li'huan'rao'qi 魔力环绕器
'mo'li'jian'ce'qi 魔力检测器
'mo'li'leng'jing 魔力棱镜
'mo'li'mai'chong 魔力脉冲
'mo'li'mai'chong'qiang 魔力脉冲枪
'mo'li'qu'qi 魔力曲奇
'mo'li'shan'guang 魔力闪光
'mo'li'shi'ban 魔力石板
'mo'li'shi'ying 魔力石英
'mo'li'shi'ying'kuai 魔力石英块
'mo'li'shi'ying'lou'ti 魔力石英楼梯
'mo'li'shi'ying'tai'jie 魔力石英台阶
'mo'li'shou'jing 魔力手镜
'mo'li'tou'jing 魔力透镜
'mo'li'xiao'hui'qi 魔力销毁器
'mo'li'xing 魔力星
'mo'li'xing'pen'zai 魔力星盆栽
'mo'li'zhen'zhu 魔力珍珠
'mo'li'zhi'jie 魔力之戒
'mo'li'zhuan'huan'qi 魔力转换器
'mo'li'zuan'shi 魔力钻石
'mo'li'zuan'shi'kuai 魔力钻石块
'mo'ying'jian'shi'zhe 末影监视者
'mo'ying'zhi'pin 末影制品
'mo'ying'zhi'shou 末影之手
'mo'yuan'bu'pi 魔源布匹
'mo'yuan'chang'pao 魔源长袍
'mo'yuan'chang'xue 魔源长靴
'mo'yuan'feng'xiang 魔源风箱
'mo'yuan'kui'jia 魔源盔甲
'mo'yuan'tou'peng 魔源头蓬
'mo'zhi'huo'shi 磨制活石
'mo'zhi'huo'shi'lou'ti 磨制活石楼梯
'mo'zhi'huo'shi'qiang 磨制活石墙
'mo'zhi'huo'shi'tai'jie 磨制活石台阶
'ni'bu'pao'de'hua 你不跑的话
'ni'wa'le'shen'me'wo'jiu'zhong'le'shen'me 你挖了什么我就种了什么
'ni'xiang'cheng'wei'shen'me'yan'se 你想成为什么颜色
'nian'qiu'cao 粘球草
'nian'qiu'cao'pen'zai 粘球草盆栽
'nian'tu'hua 粘土花
'nian'tu'hua'pen'zai 粘土花盆栽
'niao'yu'mi'feng 鸟与蜜蜂
'ning'kuang'lan 凝矿兰
'ning'kuang'lan'pen'zai 凝矿兰盆栽
'nong'mei'mao 浓眉毛
'nv'wang'xiang'lian'de'hui'sheng 女王项链的回声
'nv'wang'zhi'mei 女王之魅
'nv'wu'bie'zhen 女巫别针
'peng'song'wei'jin 蓬松围巾
'pi'pa'zuo'xiang 噼啪作响
'pin'hong'se'chan 品红色铲
'pin'hong'se'chu 品红色锄
'pin'hong'se'de'zhi'wu'mo'fa 品红色的植物魔法
'pin'hong'se'fu 品红色斧
'pin'hong'se'fu'kong'hua 品红色浮空花
'pin'hong'se'gao 品红色镐
'pin'hong'se'gao'shen'mi'hua 品红色高神秘花
'pin'hong'se'hua'ban'kuai 品红色花瓣块
'pin'hong'se'huo'hua'sheng'ji 品红色火花升级
'pin'hong'se'jian 品红色剑
'pin'hong'se'shen'mi'hua 品红色神秘花
'pin'hong'se'shen'mi'hua'ban 品红色神秘花瓣
'pin'hong'se'shen'mi'hua'pen'zai 品红色神秘花盆栽
'pin'hong'se'shu 品红色树
'pin'hong'se'wei'guang'mo'gu 品红色微光蘑菇
'pin'hong'se'wei'guang'mo'gu'pen'zai 品红色微光蘑菇盆栽
'pin'hong'se'xiao'tu'dou'mian'ju 品红色小土豆面具
'pin'hong'se'ying'guang'hua 品红色荧光花
'pin'hong'se'ying'guang'hua'pen'zai 品红色荧光花盆栽
'pin'hong'se'yu 品红色鱼
'pin'hong'se'zhi'wu'mo'fa'ci'dian 品红色植物魔法辞典
'ping'cheng 平成
'ping'cheng'zhi'meng 平成之梦
'ping'cheng'zhi'meng'pen'zai 平成之梦盆栽
'ping'heng'dou'peng 平衡斗篷
'ping'yuan'hua'yao'tai 平原花药台
'ping'yuan'lv'dai 平原旅带
'ping'zhuang'mo'di'kong'qi 瓶装末地空气
'ping'zhuang'mo'li 瓶装魔力
'po'sun'de'chang'pian 破损的唱片
'pu'tong 普通
'qi'dong 启动
'qi'ming'ying 启命英
'qi'ming'ying'pen'zai 启命英盆栽
'qi'pao'ling 气泡铃
'qi'pao'ling'pen'zai 气泡铃盆栽
'qiang'du 强度
'qing'se'chan 青色铲
'qing'se'chu 青色锄
'qing'se'de'zhi'wu'mo'fa 青色的植物魔法
'qing'se'fu 青色斧
'qing'se'fu'kong'hua 青色浮空花
'qing'se'gao 青色镐
'qing'se'gao'shen'mi'hua 青色高神秘花
'qing'se'hua'ban'kuai 青色花瓣块
'qing'se'huo'hua'sheng'ji 青色火花升级
'qing'se'jian 青色剑
'qing'se'shen'mi'hua 青色神秘花
'qing'se'shen'mi'hua'ban 青色神秘花瓣
'qing'se'shen'mi'hua'pen'zai 青色神秘花盆栽
'qing'se'shu 青色树
'qing'se'wei'guang'mo'gu 青色微光蘑菇
'qing'se'wei'guang'mo'gu'pen'zai 青色微光蘑菇盆栽
'qing'se'xiao'tu'dou'mian'ju 青色小土豆面具
'qing'se'ying'guang'hua 青色荧光花
'qing'se'ying'guang'hua'pen'zai 青色荧光花盆栽
'qing'se'yu 青色鱼
'qing'se'zhi'wu'mo'fa'ci'dian 青色植物魔法辞典
'qing'tian'wa'wa 晴天娃娃
'qing'wa'yan 青蛙眼
'qiu'zhi'fu'wen 秋之符文
'qu'pi'huo'mu 去皮活木
'qu'pi'huo'mu'yuan'mu 去皮活木原木
'qu'pi'meng'zhi'mu 去皮梦之木
'qu'pi'meng'zhi'mu'lou'ti 去皮梦之木楼梯
'qu'pi'meng'zhi'mu'qiang 去皮梦之木墙
'qu'pi'meng'zhi'mu'tai'jie 去皮梦之木台阶
'qu'pi'meng'zhi'mu'yuan'mu 去皮梦之木原木
'qu'pi'wei'guang'huo'mu 去皮微光活木
'qu'pi'wei'guang'huo'mu'yuan'mu 去皮微光活木原木
'qu'pi'wei'guang'meng'zhi'mu 去皮微光梦之木
'qu'pi'wei'guang'meng'zhi'mu'yuan'mu 去皮微光梦之木原木
'qu'xia'yang'mao 取下羊毛
'quan'dou'lou'jin'qu 全都漏进去
'quan'xing 圈形
'quan'zuo'wu'nong'chang 全作物农场
'ran'shao'wu'pin 燃烧物品
're'bao'hua 热爆花
're'bao'hua'pen'zai 热爆花盆栽
're'bao'zhuang'zhi 热爆装置
'ren'ci'nv'shen'de'lian'shi 仁慈女神的链饰
'ren'wu'ren'biao'zhi 任务人标志
'reng'chu 扔出
'rong'jie 溶解
'ruo'ci'lan 弱磁兰
'ruo'ci'lan'pen'zai 弱磁兰盆栽
'sen'lin'fa'zhang 森林法杖
'sen'lin'hua'yao'tai 森林花药台
'sha'mo'hua'yao'tai 沙漠花药台
'sha'sha'zuo'xiang 沙沙作响
'shan'bi'zhi'huan 闪避指环
'shan'guang 闪光
'shan'shui'xian 扇水仙
'shan'shui'xian'pen'zai 扇水仙盆栽
'shan'yao 闪耀
'shan'yao'fei'lun 闪耀飞轮
'shang'hai 伤害
'shang'yong 上涌
'shao'lian 烧炼
'she'mian 赦免
'shen'ban'yan'hua'yao'tai 深板岩花药台
'shen'hai'shao'nv 深海少女
'shen'hua'mo'li'chi 神话魔力池
'shen'mi'gong'ju 神秘工具
'shen'shang'xian'su 肾上腺素
'shen'sheng'dou'peng 神圣斗篷
'shen'wei'zhi'yan 神威之眼
'shen'yuan'fa'zhang 深渊法杖
'sheng'dan'bian'zhi'chang'pao 圣诞编织长袍
'sheng'dan'bian'zhi'chang'xue 圣诞编织长靴
'sheng'dan'bian'zhi'dou'peng 圣诞编织斗篷
'sheng'ji 升级
'sheng'ming'guan'zhu'qi 生命灌注器
'sheng'ming'ju'he'qi 生命聚合器
'sheng'qi 生气
'shi'cao'hua 噬草花
'shi'cao'hua'pen'zai 噬草花盆栽
'shi'hua'cao 石化草
'shi'hua'cao'pen'zai 石化草盆栽
'shi'hun 噬魂
'shi'jie'su'zao'zhe'zhi'xing'pan 世界塑造者之星盘
'shi'jie'zheng'fu 世界征服
'shi'jie'zhi'zhong 世界之种
'shi'lai'mu'guan'zi 史莱姆罐子
'shi'pin'he'pei'jian 饰品和配件
'shi'pin'he'zi 饰品盒子
'shi'tou 石头
'shi'xue 嗜血
'shi'yong'mo'li 使用魔力
'shi'zhong'zhi'yan 时钟之眼
'shi'zi'tou'shi 十字头饰
'shou'ji'zhi'gu 收集之鼓
'shou'kou'ru'ping 守口如瓶
'shou'zhang'hua 手掌花
'shou'zhang'hua'pen'zai 手掌花盆栽
'shu'chang 树场
'shu'fu'mei 束缚莓
'shu'fu'mei'pen'zai 束缚莓盆栽
'shu'wen'hong'se'shi'ying'kuai 竖纹红色石英块
'shu'wen'jin'huang'shi'ying'kuai 竖纹金黄石英块
'shu'wen'jing'ling'shi'ying'kuai 竖纹精灵石英块
'shu'wen'lie'yan'shi'ying'kuai 竖纹烈焰石英块
'shu'wen'mo'li'shi'ying'kuai 竖纹魔力石英块
'shu'wen'xun'xiang'shi'ying'kuai 竖纹熏香石英块
'shu'wen'yan'xun'shi'ying'kuai 竖纹烟熏石英块
'shu'zi'jiang'yin'ling'yi'qie'qi'wu 数字将引领一切起舞
'shua'guai'ta 刷怪塔
'shui'jing'gong 水晶弓
'shui'xiu'qiu 水绣球
'shui'xiu'qiu'pen'zai 水绣球盆栽
'shui'xiu'qiu'zhuang'shi 水绣球装饰
'shui'xiu'qiu'zhuang'shi'pen'zai 水绣球装饰盆栽
'shui'zhi'fu'wen 水之符文
'si'kao'zi'tai 思考姿态
'si'si'zuo'xiang 嘶嘶作响
'si'wang 死亡
'si'ye'cao 四叶草
'sou'sou'sheng 嗖嗖声
'su'du 速度
'sui'xiang'zhi'jian 随想之茧
'ta'fa'pai 他发牌
'ta'nian'nian'de 它粘粘的
'tai'huo'mu'ban 苔活木板
'tai'huo'shi'zhuan 苔活石砖
'tai'la'duan'lie'zhe 泰拉断裂者
'tai'la'fen'sui'zhe 泰拉粉碎者
'tai'la'gang 泰拉钢
'tai'la'gang'ding 泰拉钢锭
'tai'la'gang'hu'tui 泰拉钢护腿
'tai'la'gang'kuai 泰拉钢块
'tai'la'gang'kui'jia 泰拉钢盔甲
'tai'la'gang'li 泰拉钢粒
'tai'la'gang'tou'kui 泰拉钢头盔
'tai'la'gang'xiong'jia 泰拉钢胸甲
'tai'la'gang'xue'zi 泰拉钢靴子
'tai'la'ning'ju'ban 泰拉凝聚板
'tai'la'zhi'ren 泰拉之刃
'tai'meng'zhi'mu'ban 苔梦之木板
'tai'shi'hua'yao'tai 苔石花药台
'tai'yang'hua'zhuang'shi 太阳花装饰
'tai'yang'hua'zhuang'shi'pen'zai 太阳花装饰盆栽
'tan'ce'wei'guang 探测微光
'tan'lan'fu'wen 贪婪符文
'tan'shi'hua 贪食花
'tan'shi'hua'pen'zai 贪食花盆栽
'tan'shi'zhuang'zhi 贪食装置
'tao'shang'yang'mao 套上羊毛
'teng'wan'qiu 藤蔓球
'tian'jiang'zhi'zou 天降之奏
'tian'jiang'zhi'zou'pen'zai 天降之奏盆栽
'tian'kong'fa'zhang 天空法杖
'tian'yi'zu'zhi'guan 天翼族之冠
'tian'yi'zu'zhi'yan 天翼族之眼
'tian'yuan'kang'nai'xin 田园康乃馨
'tian'yuan'kang'nai'xin'pen'zai 田园康乃馨盆栽
'ting'zhi'gong'zuo 停止工作
'tou'jing'jia 透镜夹
'tou'zhi 投掷
'tou'zhi'de'wu'pin 投掷的物品
'tu'chu'pao'pao 吐出泡泡
'tu'se 涂色
'tui'li 推力
'tui'que 退却
'tuo'er'zhi'jie 托尔之戒
'tuo'la'ge'de'yi'zhi 托拉格的意志
'wa'jue 挖掘
'wai'dao 外道
'wai'xing'ren'tian'xian 外星人天线
'wan'jia 玩家
'wan'quan'jiu'shi'chao'xi'geng'duo'shi'yong'she'bei 完全就是抄袭更多实用设备
'wang'zhi'bao'yao 王之宝钥
'wei'guang 微光
'wei'guang'fa'she'qi 微光发射器
'wei'guang'huo'mu 微光活木
'wei'guang'huo'mu'yuan'mu 微光活木原木
'wei'guang'meng'zhi'mu 微光梦之木
'wei'guang'meng'zhi'yuan'mu 微光梦之原木
'wei'guang'mu'ban 微光木板
'wei'guang'mu'ban'lou'ti 微光木板楼梯
'wei'guang'mu'ban'tai'jie 微光木板台阶
'wei'guang'shi 微光石
'wei'guang'shi'lou'ti 微光石楼梯
'wei'guang'shi'tai'jie 微光石台阶
'wei'guang'shu 微光束
'wei'la'ke'de'yi'zhi 威拉克的意志
'weng'weng'zuo'xiang 嗡嗡作响
'wo'bu'shi'tian'shi 我不是天使
'wu'di'tong 无底桶
'wu'luo'cao 勿落草
'wu'luo'cao'pen'zai 勿落草盆栽
'wu'luo'cao'zhuang'zhi 勿落草装置
'wu'xue'diao'zhui 污血吊坠
'xi'bao'fang'kuai 细胞方块
'xi'qing 喜庆
'xi're'fan'ying 吸热反应
'xi'shi'mo'li'chi 稀释魔力池
'xi'shou 吸收
'xia'ban'shen 下半身
'xia'zhi'fu'wen 夏之符文
'xian'cao'cao'di 鲜草草地
'xian'cao'zhi'zhong 鲜草之种
'xian'shi'de'lun'li'zhu'yi'zhe 現実的論理主義者
'xiang'liu'xing'xu'yuan 向流星许愿
'xiang'pan 香盘
'xiang'qian'meng'chong 向前猛冲
'xiang'xiang 想像
'xiang'yan'shi'ban'jian'ying 像岩石般坚硬
'xiao'hao'rong'yan 消耗熔岩
'xiao'jiao'mei'zhi'ci 小娇媚之刺
'xiao'jiao'mei'zhi'ci'pen'zai 小娇媚之刺盆栽
'xiao'jing'ling 小精灵
'xiao'lou'dou'hua 小漏斗花
'xiao'lou'dou'hua'pen'zai 小漏斗花盆栽
'xiao'lv 效率
'xiao'nian'tu'hua 小粘土花
'xiao'nian'tu'hua'pen'zai 小粘土花盆栽
'xiao'ping 小瓶
'xiao'qi'pao'ling 小气泡铃
'xiao'qi'pao'ling'pen'zai 小气泡铃盆栽
'xiao'ruo'ci'lan 小弱磁兰
'xiao'ruo'ci'lan'pen'zai 小弱磁兰盆栽
'xiao'shou'zhang'hua 小手掌花
'xiao'shou'zhang'hua'pen'zai 小手掌花盆栽
'xiao'shu'fu'mei 小束缚莓
'xiao'shu'fu'mei'pen'zai 小束缚莓盆栽
'xiao'tian'yuan'kang'nai'xin 小田园康乃馨
'xiao'tian'yuan'kang'nai'xin'pen'zai 小田园康乃馨盆栽
'xiao'tu'dou 小土豆
'xiao'tu'dou'mian'ju 小土豆面具
'xiao'xin'qing'fang 小心轻放
'xiao'yan 枭眼
'xiao'yi'gou'hua 小异构花
'xiao'yi'gou'hua'pen'zai 小异构花盆栽
'xiao'yin'gan 消音柑
'xiao'yin'gan'pen'zai 消音柑盆栽
'xiao'zi'you'zhi'yi 小自由之翼
'xiao'zi'you'zhi'yi'pen'zai 小自由之翼盆栽
'xie'xia'jiao'shou'jia 卸下脚手架
'xie'xia'mo'li'tou'jing 卸下魔力透镜
'xin'shi 信使
'xing'hong'zhi'ying 腥红之影
'xing'kong'zhi'zao'qi 星空制造器
'xing'xing 星星
'xing'xing'xiang'lian 行星项链
'xiu'zheng'zhi'huan 修正指环
'xu'hua 虚化
'xu'mu'hua 畜牧花
